ID,Username,Age,Country,CreationDate,Description,FollowerCount,PostCount,Language
1,mark51,39,Germany,02/29/2016 06:00 PM,"I am a gamer, and I am a gamer for a reason",2673,24,GER
2,lucerocarol_1981,27,China,12/13/2023 07:50 AM,The first of the two species of the genus _Lucerocarol,161,1,GER
3,mbrewer,65,China,06/04/2018 01:02 AM,The most important thing is to have a good time.,1275,11,ENG
4,vchang,25,Japan,09/06/2018 08:33 PM,", :, :, :, :, :, :, :",497,5,NED
5,ahall,54,France,08/03/2023 02:49 PM,"'A travel writer and photographer, who has been writing about travel for more",56,3,FRE
6,christina45,52,Italy,01/11/2008 06:31 PM,I am a very passionate and enthusiastic person who loves to play games. I,2037,98,ITA
7,1962_collierdylan,26,France,01/20/2021 11:07 AM,"The Republican Party is the party of the people, the party of the people",1323,15,FRE
8,hector57,,China,09/06/2016 01:33 PM,The purpose of this course is to provide students with the knowledge and skills necessary,876,15,MAN
9,1981_robert55,42,Russia,06/23/2019 06:30 AM,The first of the two new series of the _New York Times_,348,8,ENG
10,robert93,20,Italy,06/27/2017 10:03 AM,"I am a professional athlete, I am a professional athlete, I am a",2735,3,NED
11,terrifox_1950,40,Netherlands,05/16/2023 07:45 PM,The first thing that strikes you about this man is his height.,22,0,NED
12,simmonsmatthew_1951,,Italy,02/15/2008 09:41 AM,The author is a professor of English at the University of North Carolina at Chapel,7953,27,ITA
13,stoneautumn,30,,09/28/2018 02:50 AM,The author is a freelance writer and editor. He has written for a variety,1044,16,ENG
14,christine49,49,UK,09/15/2009 12:56 PM,The author is a retired veterinarian and has been a volunteer with the Humane,3223,46,ENG
15,1998_edwardsashley,53,China,10/19/2021 05:56 AM,The Republican Party is the party of the rich and the powerful. It is,21,11,MAN
16,1985_astewart,,USA,08/14/2018 03:50 AM,The author is a former member of the United States Air Force and,304,34,ENG
17,1987_danielnicholson,21,USA,07/21/2019 02:59 PM,"The Republican Party is the party of the people, the party of the people",739,9,ENG
18,mhoward_1970,52,USA,04/12/2011 09:05 PM,"The first time I saw the movie, I was a little bit",1305,2,ENG
19,renee69_1952,69,Germany,09/09/2021 06:00 PM,The Republican Party is the party of the people. It is the party of,1984,2,ENG
20,2004_davidlarson,43,USA,11/05/2021 01:32 AM,The Republican Party is the party of hate. It is the party of,23,6973,ENG
21,hlester,35,Japan,06/04/2008 08:14 PM,The author is a veterinarian and a writer.The author is a,6120,69,JAP
22,1987_larsonronald,57,France,03/13/2011 08:18 AM,"The Republican Party is the party of the people, the party of the",5918,80,FRE
23,1966_idunlap,54,France,06/13/2011 05:36 AM,The event is a meeting of the European Parliament and the European Council,8797,42,ENG
24,1958_stephaniesmith,33,Russia,09/02/2019 08:18 PM,The animals are a very important part of the world. They are,1338,33,JAP
25,jerrypatrick,30,USA,10/14/2015 02:22 AM,"I'm a big fan of the game, and I'm a",1366,67,ENG
26,1973_nelsonlori,41,USA,08/18/2009 10:24 PM,The author is a retired veterinarian. He is a member of the American Veterinary,15284,26,GER
27,cortezandrea,36,China,01/25/2017 09:05 PM,The author is a biologist and a professor of biology at the University,419,15,MAN
28,robertswesley,61,France,12/09/2008 11:59 PM,The author is a freelance writer and a member of the editorial board of the,18509,64,FRE
29,james54,88,UK,02/01/2009 04:30 AM,"I am a full time student at the University of California, Berkeley. I",667,59,ENG
30,ofleming,17,UK,07/08/2012 01:27 PM,The author is a journalist and a political analyst. He is a contributor to,4976,85,JAP
31,1975_jonessarah,42,Germany,04/08/2008 08:41 PM,I am a very active and enthusiastic person. I love to play,11323,109,GER
32,1968_james36,49,Germany,02/08/2021 06:33 PM,"The Republican Party is the party of the people, the party of the",445,11,FRE
33,dawnstrong,27,France,08/01/2012 02:21 PM,"I am a very passionate person, I love to travel, I love to",14902,24,FRE
34,1984_jasminenelson,29,China,04/06/2008 12:18 AM,The first image-based AI system to be trained on a large-,7604,43,GER
35,1988_wcarney,71,France,05/11/2020 06:38 AM,The World Cup is the most important sporting event in the world. It is,1074,2,JAP
36,jennifermeadows,49,Germany,09/26/2013 07:36 PM,"I am a young, energetic, and adventurous woman who loves to",4872,20,ENG
37,vwagner,38,Russia,06/08/2023 06:51 PM,The first ever event for the new breed of animal lovers.The,157,3,RUS
38,kimberly95_1962,,Japan,09/17/2018 01:58 PM,The first ever international women's football tournament was held in the city of K,559,37,JAP
39,michaelnelson,67,Russia,03/11/2013 08:08 AM,The first thing I did when I got back to the office was to,10333,25,RUS
40,hailey73,,USA,02/10/2021 07:41 AM,The event is a great opportunity to meet other people who share your interests and,2208,27,FRE
41,twilliams,56,China,01/18/2020 05:08 PM,"I am a gamer, a sports fan, and a lover of all things",355,9,NED
42,urusso,30,UK,12/07/2016 02:53 AM,The most important thing is that you have to be able to play,3289,5,ENG
43,gwashington_1954,68,USA,10/31/2009 05:37 AM,"The first of the two men to be killed in the World Series,",4731,155,ENG
44,tracylopez_2001,20,Italy,09/21/2023 02:50 AM,A Republican who is a member of the House of Representatives from the state,276,1,RUS
45,daniel29,48,Italy,10/02/2015 10:20 AM,The first thing I noticed about this animal was its size. It,4056,39,ITA
46,1990_mary74,53,Russia,11/23/2015 01:37 AM,"The first part of this article is a short profile of the author,",1873,37,FRE
47,danamartin,,USA,05/23/2011 02:26 AM,The company is a leading provider of pharmaceuticals and medical devices. The company,13042,44,ENG
48,paige88,50,UK,09/05/2008 03:04 AM,"I am a very active person, I love to play sports,",9609,91,ENG
49,stonemark,39,,07/17/2009 09:40 PM,"The game is a game of the future, and it's called ",1516,43,NED
50,1977_bradshawglenn,,Russia,09/29/2019 09:43 AM,The author is a senior executive in the financial services industry. He is a,3202,3,ITA
51,graylindsay,17,France,12/03/2009 04:26 PM,The author is a political scientist and a former Republican. She is currently a,13918,40,FRE
52,eric60_1954,,France,02/18/2015 07:05 PM,The company is a leading provider of integrated solutions for the global energy,3943,6,FRE
53,matthew31,,Italy,09/29/2010 07:12 PM,I am a professional photographer and I am also a gamer. I love to,3032,112,RUS
54,1998_christophersmith,58,Russia,08/24/2020 05:48 AM,"The first ever meeting of the European Parliament's Committee on Civil Liberties, Justice",441,0,JAP
55,alexandragarrison,,USA,05/20/2017 12:21 PM,The Business section of the site provides a comprehensive listing of the business activities of,5850,15,ENG
56,1988_christopherharrison,56,Germany,05/19/2021 02:28 PM,The author of this article is a professional photographer and has been working in the,1532,5,MAN
57,1989_anthonybrady,44,Italy,11/26/2017 07:45 AM,"The Republican Party is the party of the people, the party of the",1921,47,ITA
58,1992_katelyn58,34,Russia,11/11/2021 01:33 AM,"Katelyn is a writer, editor, and producer. She is",697,5,RUS
59,nicholasperez,,USA,08/11/2020 03:09 PM,"The author is a writer, a teacher, a blogger, a blogger,",3961,17,ENG
60,flemingjeffrey,57,Italy,12/23/2016 07:53 PM,"The first ever event for the new game, The Game Awards, is",3370,4,MAN
61,amorales,66,Japan,02/06/2018 11:18 AM,The first thing you should know about the new game is that it's,5707,32,ENG
62,spencertheodore,,Russia,03/31/2016 09:20 AM,The author is a successful entrepreneur and a successful speaker. He has been a,596,22,RUS
63,rayrobert,43,USA,08/18/2023 08:48 AM,"The first ever football match between the two teams from the same city, the",173,1,ENG
64,mbrown,30,China,11/10/2021 08:30 PM,The first of the two new species of the genus *Pseudop,1031,6,JAP
65,raymond32_1995,17,Netherlands,03/06/2009 03:55 AM,"The Republican Party is the party of the people, the party of the",14634,43,NED
66,handerson,33,UK,06/21/2023 09:51 AM,"I am a young, single, and adventurous woman who loves to",446,2,ENG
67,barnesvickie,,Japan,08/25/2014 02:03 AM,"I am a professional athlete, a former professional soccer player, and",7567,49,MAN
68,mhoward_2000,,USA,08/08/2020 07:08 AM,"I am a senior software engineer with a strong background in Java,",945,11,RUS
69,johnsonjennifer,67,China,01/30/2016 02:18 PM,"The author is a writer, editor, and teacher. She is the author",5779,26,ENG
70,1961_perkinsgeorge,62,USA,05/05/2015 03:57 PM,The first of the two photographs of the two men taken by Perkins Ge,1019,44,ENG
71,1959_ubradford,31,China,06/06/2009 01:01 PM,"The first part of this article is a short profile of the author, who",6554,34,MAN
72,ryan54,21,USA,11/19/2019 05:19 AM,I am a professional photographer and I am also a gamer. I,882,14,ENG
73,wilsonsheri,65,Germany,08/16/2018 06:46 AM,The author is a professional photographer. He is a professional photographer. He is,523,49,FRE
74,garrettalexander_1988,18,Italy,05/21/2018 06:57 AM,The first game I ever played was a game called _The Legend of,7178,48,GER
75,cindy55_1954,,Germany,11/20/2019 07:33 AM,The first woman to be elected to the position of president of the United States,3408,15,GER
76,aguilartammy,46,China,12/24/2020 03:48 PM,"I'm a gamer, a traveler, and a lover of all things geek",1344,2,MAN
77,zjones,20,France,03/09/2011 03:48 PM,The best of the best in the world of gaming.The best,3077,48,ITA
78,hadams,47,China,12/12/2012 09:02 PM,I am a young girl who loves to play games and I love,5137,109,MAN
79,dlin,22,USA,03/13/2023 07:00 AM,I am a travel writer and photographer based in the UK. I,1089,7,ENG
80,2002_aflores,44,Germany,04/10/2022 03:06 PM,The first part of the film is a documentary about the life of the,330,13,RUS
81,wthomas_1973,92,France,08/12/2012 07:37 AM,"The game is a very simple one, but it is very addictive",5604,23,FRE
82,andersonholly,52,Germany,01/27/2014 07:50 AM,"The game is a fast-paced, competitive, and action-",5579,47,FRE
83,nclark,30,Russia,09/22/2008 08:05 PM,"I am a full time student at the University of California, Berkeley. I",22992,58,ENG
84,1985_rjones,32,Japan,06/26/2016 09:23 AM,The first game to be published by a major publisher in the United States,8822,3,JAP
85,1978_justinmiller,42,Italy,01/22/2011 10:09 AM,"The game is a game of strategy, tactics, and luck. It",2479,37,GER
86,1965_msanchez,19,Italy,11/15/2021 11:19 PM,The first part of the article is about the history of the sport of,2605,2,ITA
87,benjamin85_1980,41,Japan,02/08/2021 06:01 PM,"The author is a professor of political science at the University of California, Berkeley",18,15148,JAP
88,annallen,20,UK,12/08/2022 01:56 PM,The author is a freelance writer and a travel writer. He has been writing,510,3,FRE
89,jenniferhernandez,65,France,01/10/2012 08:58 PM,I am a professional photographer and I love to take pictures of people,1434,50,FRE
90,opatterson,49,Germany,07/08/2013 04:46 AM,The event is about the new and improved version of the game. It is,17225,29,NED
91,garybrooks,19,USA,03/15/2017 12:06 AM,"The Republican Party is a party of the people, not the elite. It",3294,14,ENG
92,jerryschmidt_1983,29,Italy,04/24/2022 05:08 AM,"The game is a game of strategy, and the player is the",1120,2,ITA
93,michael09,39,Germany,03/02/2013 06:11 AM,"The first ever event for the new game, The Witcher 3:",4728,33,ENG
94,1962_kenneth32,30,Germany,11/01/2023 10:44 AM,"The Republican Party is the party of the people, the party of the",133,0,GER
95,1973_lyoung,29,USA,02/24/2022 01:04 AM,I am a student of the University of Hong Kong. I am,129,4786,ITA
96,anne43_1973,44,Japan,03/15/2015 07:15 AM,"The author, a former Republican, describes his experiences in the Republican Party",3476,89,JAP
97,blairjames,35,Italy,12/28/2020 01:50 AM,"The Republican Party is the party of the people, the party of the",1086,3,RUS
98,taylortina_1987,37,China,07/18/2023 12:49 PM,"The Taylortina is a small, slender, and fast-",430,3,MAN
99,2001_mbrewer,22,Italy,01/30/2018 04:11 PM,"The Republican Party is the party of the people, the party of the",1342,33,ITA
100,2004_michaelphillips,,Netherlands,05/08/2013 03:38 AM,"Michael Phillips, a former member of the U.S. House of Representatives",7700,30,NED
101,gregory58,31,China,09/25/2021 04:18 AM,The first thing I noticed about the new Covid-19 virus was,74,17445,MAN
102,stephen97,45,China,11/24/2019 05:46 PM,"The first ever women's rugby union team from the United Kingdom, the England",5252,17,MAN
103,warnerdavid,31,China,01/24/2023 11:26 PM,The Animal Rights Movement is a movement that is dedicated to the protection of animals,98,5,MAN
104,chandlerchristopher,,Italy,12/16/2015 03:44 PM,The job offer is for a full time position in the Finance Department. The,11311,21,ITA
105,1993_anngarcia,45,China,08/27/2009 06:00 AM,"The first part of this article is a short profile of the author, who",19170,7,NED
106,1950_maryrodriguez,58,Japan,01/30/2010 03:27 PM,"The first part of this article is a short profile of the author,",4617,45,RUS
107,wilsonangela,34,France,05/11/2014 05:52 PM,"The author is a writer, a blogger, a blogger, a blogger,",7137,44,FRE
108,jeremyluna,22,Japan,04/07/2022 07:12 PM,The first thing I noticed about this guy was his hair. It,168,0,JAP
109,1974_stephenchandler,32,China,12/03/2021 07:05 PM,The first ever meeting of the British and American teams in the World Cup was,1873,7,MAN
110,kennethmolina,36,USA,08/09/2018 01:35 PM,The Republican Party is the political party of the United States. It,640,13,ENG
111,jeffreyedwards,17,Japan,05/24/2012 12:19 PM,"I am a photographer, I love to take pictures and I love to",309,44,RUS
112,michaelbrady,27,Russia,05/13/2019 01:31 PM,Michael Brady is a professional photographer and has been in the industry for,1087,25,RUS
113,1995_uphillips,45,Germany,11/11/2017 01:32 PM,The author is a freelance writer and photographer. He has been a,1595,0,FRE
114,lindsay08,54,Netherlands,02/04/2023 03:58 AM,The author is a political scientist and a political theorist. He is currently a,942,7,NED
115,zacharywilliams,54,UK,06/06/2009 03:37 PM,The author is a veterinarian and a Republican. He is a graduate of the,2646,39,ENG
116,hhubbard,,Netherlands,11/24/2011 11:40 PM,The U.S. Department of Energy (DOE is seeking applications,13405,61,ITA
117,1977_cherrymichele,36,UK,03/28/2016 08:26 PM,":, :, :, :, :, :, :, :",8722,33,ENG
118,nicholassmith,41,Japan,07/25/2009 10:33 PM,The first thing that comes to mind when you think of the word ,18583,97,NED
119,1982_robert89,59,UK,11/29/2009 10:16 PM,The event is a great opportunity to meet new people and to get,8139,27,ENG
120,johnstevens,42,Germany,09/05/2016 03:10 PM,"I am a photographer, I love to take pictures, I love to take",1588,19,GER
121,donna24,94,Italy,06/01/2020 04:47 PM,I am a very friendly and outgoing person. I love to have fun and,3674,0,ITA
122,marymiles,49,Germany,12/08/2017 04:38 AM,"I am a photographer, I love to take pictures and I love to",7246,20,GER
123,1996_crystal22,60,Netherlands,07/19/2012 06:15 PM,The first of the two new species of the genus _Cynops_,1827,18,ENG
124,angeladelgado_1969,40,,08/12/2015 06:58 PM,The animal is the most important part of the image. It is the,5747,39,JAP
125,1996_gjones,45,USA,04/09/2020 01:09 PM,"The game is a mix of strategy and role-playing, with",1241,14,MAN
126,amy43,35,France,07/14/2021 02:53 AM,The first ever game to use the new 3D technology to create a realistic,2416,3,FRE
127,jessica71_1993,58,UK,10/31/2015 05:21 PM,The author is a journalist and a sports journalist. He is a sports journalist,5712,15,FRE
128,wfuller,53,USA,06/01/2018 05:36 PM,"The first full-length biography of the legendary boxer, who was born in",7868,42,JAP
129,bobby10,67,Germany,04/11/2016 10:14 PM,"I'm a gamer, a gamer who is also a writer, and a",50,57,MAN
130,hshaw,60,Netherlands,06/10/2012 11:16 PM,"The game is a fast-paced, competitive, and action-",2628,17,NED
131,timothy95,69,Japan,07/14/2008 02:16 PM,"The Republican Party is the party of the people, the party of the people",3228,87,JAP
132,jonathon85_1988,27,Germany,01/23/2024 06:52 AM,":, :, :, :, :, :, :, :",1,0,GER
133,dannyriley,34,Netherlands,03/22/2012 03:54 AM,"The world's most famous dog is a dog, and he's a",2291,19,NED
134,1959_wilkinsmatthew,36,Russia,11/08/2010 05:26 PM,"The game of chess is a game of strategy, and the player's",9374,55,GER
135,rodriguezpatrick,27,France,01/29/2014 11:04 PM,The author is a travel writer and has been writing about travel for more than,5166,66,FRE
136,crojas,41,Japan,01/24/2016 11:22 PM,"The first ever game to use the new Unreal Engine 4, and the",847,4,JAP
137,krichard,48,China,09/26/2019 02:24 AM,"The author of this article is a journalist, photographer and a writer. He",5882,18,ENG
138,mackemma,53,Germany,03/26/2023 08:02 PM,The author is a former Republican member of the U.S. House of,539,3,ITA
139,hrose,39,France,10/24/2014 07:49 PM,The event is about the life of a young woman who is a photographer.,966,16,FRE
140,krausethomas,28,UK,10/06/2010 06:42 PM,The event is organized by the German Society of Psychiatry and Psychotherapy,7418,4,ENG
141,carrieroberson,40,Italy,08/10/2015 11:30 AM,The author is a retired teacher and a retired police officer. He is a,961,48,ITA
142,timothywashington_1973,24,UK,10/09/2016 07:24 PM,"The Republican Party is the party of the people, the party of",10294,78,ENG
143,1986_tanya00,43,Russia,04/10/2009 03:54 AM,The author is a travel writer and a nature enthusiast. He has been writing,2440,20,ITA
144,mariehughes_1993,26,Russia,08/26/2018 05:00 PM,I am a travel writer and photographer. I have been traveling for,2287,40,ENG
145,pamelameyer,,,06/12/2010 11:36 PM,"I am a young, energetic, and passionate person who is looking for a",9206,45,ENG
146,mcmahonjeffrey,21,Germany,02/18/2015 04:00 AM,The author is a former journalist and a former Republican politician. He is currently,4987,9,GER
147,gibbseric,46,UK,08/21/2015 01:09 AM,"The author is a writer, researcher, and game designer. He is currently",2442,22,MAN
148,sharonsnyder,21,UK,08/22/2017 12:07 AM,The event is a great opportunity to meet new people and get to know the,5986,6,ENG
149,clarkewendy_1968,27,Russia,09/09/2013 08:18 PM,"The first of the two ships to be built by the Royal Navy,",14955,28,ENG
150,howens_1976,18,France,09/26/2018 03:11 AM,"The Republican Party is the party of the people, the party of the",7909,4,FRE
151,1960_jessica61,27,Russia,09/29/2019 11:12 AM,The game of the year is the game of the century. It is,718,24,RUS
152,nicole14_1985,25,Italy,11/24/2013 04:21 PM,"The first woman to be elected to the French National Assembly, she was",20282,0,ENG
153,cgordon_1956,46,Germany,06/24/2022 05:53 AM,"The Republican Party is the party of the people, the party of the people",934,0,GER
154,levi35_1952,32,UK,06/19/2011 06:46 AM,The author is a retired veterinarian. He has a bachelor's degree in animal,5538,28,ENG
155,steven53_1971,66,,05/23/2023 02:19 PM,"The author is a writer, a gamer, and a cat lover.",274,3,ENG
156,1990_nicholas41,100,Russia,11/17/2019 11:19 AM,The first ever World Cup in the history of the sport of football. The,1882,4,RUS
157,jamierodgers,49,Japan,02/20/2013 11:22 AM,The image of the athlete is the most important part of the athlete's life,493,19,JAP
158,brian94_1951,44,UK,01/27/2017 01:46 PM,"I'm a gamer, and I'm also a gamer's wife",5491,8,ENG
159,thomasbell,,,05/12/2017 06:22 AM,The first of the new series of books on the history of the world's,2790,2,MAN
160,1972_hallanthony,17,France,04/08/2023 04:34 AM,The Hall of Fame is a new hall of fame for the best athletes in,92,1,NED
161,1990_jonesjohn,56,Japan,08/28/2023 03:27 AM,"The Republican Party is the party of the people, the party of the people",403,2,JAP
162,veronica26,68,Germany,07/20/2009 06:10 PM,"The first ever female president of the United States, and the first woman to",4089,117,GER
163,alexanderreynolds,25,USA,12/24/2018 11:29 AM,"The author is a professional photographer, specializing in portraits, fashion,",4306,1,ENG
164,olivia91_1968,31,Japan,08/14/2016 04:19 AM,The Republican Party is the political party of the United States of America. The,92,18,ENG
165,douglas14,22,USA,05/05/2020 01:37 AM,"I am a photographer, I love to travel, I love to take pictures",10,1,NED
166,dakota04_1994,38,Netherlands,01/23/2018 12:11 AM,The first ever “Dakota” event was held,7525,8,NED
